move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,0,0,0,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,.BBBBBBBBBB/B........../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,6,5,8,3,,,,.BBBBBBBBBB/B........../.........../.........../.........../...DDCDD.../...........,.BBBBBBBBBB/B........../.........../........D../.........../...DDC.D.../...........
3,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,.BBBBBBBBBB/B........../.........../........D../.........../...DDC.D.../...........,.B.BBBBBBBB/B.B......../.........../........D../.........../...DDC.D.../...........
4,Player.HUNTERS,PieceType.DOG,8,3,10,3,,,,.B.BBBBBBBB/B.B......../.........../........D../.........../...DDC.D.../...........,.B.BBBBBBBB/B.B......../.........../..........D/.........../...DDC.D.../...........
5,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,.B.BBBBBBBB/B.B......../.........../..........D/.........../...DDC.D.../...........,.B.BBBBB.BB/B.B.....B../.........../..........D/.........../...DDC.D.../...........
6,Player.HUNTERS,PieceType.DOG,10,3,6,3,,,,.B.BBBBB.BB/B.B.....B../.........../..........D/.........../...DDC.D.../...........,.B.BBBBB.BB/B.B.....B../.........../......D..../.........../...DDC.D.../...........
7,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,.B.BBBBB.BB/B.B.....B../.........../......D..../.........../...DDC.D.../...........,.B.BBBBB.BB/B.B......../........B../......D..../.........../...DDC.D.../...........
8,Player.HUNTERS,PieceType.DOG,3,5,1,3,,,,.B.BBBBB.BB/B.B......../........B../......D..../.........../...DDC.D.../...........,.B.BBBBB.BB/B.B......../........B../.D....D..../.........../....DC.D.../...........
9,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,.B.BBBBB.BB/B.B......../........B../.D....D..../.........../....DC.D.../...........,.B.BBBB..BB/B.B....B.../........B../.D....D..../.........../....DC.D.../...........
10,Player.HUNTERS,PieceType.DOG,4,5,4,4,,,,.B.BBBB..BB/B.B....B.../........B../.D....D..../.........../....DC.D.../...........,.B.BBBB..BB/B.B....B.../........B../.D....D..../....D....../.....C.D.../...........
