move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBBB.BBB/.......B.../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,7,5,6,4,,,,BBBBBBB.BBB/.......B.../.........../.........../.........../...DDCDD.../...........,BBBBBBB.BBB/.......B.../.........../.........../......D..../...DDCD..../...........
3,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,BBBBBBB.BBB/.......B.../.........../.........../......D..../...DDCD..../...........,BBBBBBB.B.B/.......B.B./.........../.........../......D..../...DDCD..../...........
4,Player.HUNTERS,PieceType.DOG,3,5,1,5,,,,BBBBBBB.B.B/.......B.B./.........../.........../......D..../...DDCD..../...........,BBBBBBB.B.B/.......B.B./.........../.........../......D..../.D..DCD..../...........
5,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,BBBBBBB.B.B/.......B.B./.........../.........../......D..../.D..DCD..../...........,BBBBBBB...B/.......BBB./.........../.........../......D..../.D..DCD..../...........
6,Player.HUNTERS,PieceType.DOG,4,5,7,2,,,,BBBBBBB...B/.......BBB./.........../.........../......D..../.D..DCD..../...........,BBBBBBB...B/.......BBB./.......D.../.........../......D..../.D...CD..../...........
7,Player.BUFFALO,PieceType.BUFFALO,0,0,0,1,,,,BBBBBBB...B/.......BBB./.......D.../.........../......D..../.D...CD..../...........,.BBBBBB...B/B......BBB./.......D.../.........../......D..../.D...CD..../...........
8,Player.HUNTERS,PieceType.DOG,7,2,9,4,,,,.BBBBBB...B/B......BBB./.......D.../.........../......D..../.D...CD..../...........,.BBBBBB...B/B......BBB./.........../.........../......D..D./.D...CD..../...........
9,Player.BUFFALO,PieceType.BUFFALO,4,0,4,1,,,,.BBBBBB...B/B......BBB./.........../.........../......D..D./.D...CD..../...........,.BBB.BB...B/B...B..BBB./.........../.........../......D..D./.D...CD..../...........
10,Player.HUNTERS,PieceType.DOG,6,5,9,2,,,,.BBB.BB...B/B...B..BBB./.........../.........../......D..D./.D...CD..../...........,.BBB.BB...B/B...B..BBB./.........D./.........../......D..D./.D...C...../...........
11,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,.BBB.BB...B/B...B..BBB./.........D./.........../......D..D./.D...C...../...........,.B.B.BB...B/B.B.B..BBB./.........D./.........../......D..D./.D...C...../...........
12,Player.HUNTERS,PieceType.DOG,6,4,7,4,,,,.B.B.BB...B/B.B.B..BBB./.........D./.........../......D..D./.D...C...../...........,.B.B.BB...B/B.B.B..BBB./.........D./.........../.......D.D./.D...C...../...........
13,Player.BUFFALO,PieceType.BUFFALO,3,0,3,1,,,,.B.B.BB...B/B.B.B..BBB./.........D./.........../.......D.D./.D...C...../...........,.B...BB...B/B.BBB..BBB./.........D./.........../.......D.D./.D...C...../...........
14,Player.HUNTERS,PieceType.DOG,7,4,6,4,,,,.B...BB...B/B.BBB..BBB./.........D./.........../.......D.D./.D...C...../...........,.B...BB...B/B.BBB..BBB./.........D./.........../......D..D./.D...C...../...........
15,Player.BUFFALO,PieceType.BUFFALO,3,1,3,2,,,,.B...BB...B/B.BBB..BBB./.........D./.........../......D..D./.D...C...../...........,.B...BB...B/B.B.B..BBB./...B.....D./.........../......D..D./.D...C...../...........
16,Player.HUNTERS,PieceType.DOG,6,4,6,1,,,,.B...BB...B/B.B.B..BBB./...B.....D./.........../......D..D./.D...C...../...........,.B...BB...B/B.B.B.DBBB./...B.....D./.........../.........D./.D...C...../...........
17,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,.B...BB...B/B.B.B.DBBB./...B.....D./.........../.........D./.D...C...../...........,.B...BB...B/B.B.B.DB.B./...B....BD./.........../.........D./.D...C...../...........
18,Player.HUNTERS,PieceType.DOG,9,2,8,1,,,,.B...BB...B/B.B.B.DB.B./...B....BD./.........../.........D./.D...C...../...........,.B...BB...B/B.B.B.DBDB./...B....B../.........../.........D./.D...C...../...........
19,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,.B...BB...B/B.B.B.DBDB./...B....B../.........../.........D./.D...C...../...........,.B....B...B/B.B.BBDBDB./...B....B../.........../.........D./.D...C...../...........
20,Player.HUNTERS,PieceType.DOG,1,5,0,5,,,,.B....B...B/B.B.BBDBDB./...B....B../.........../.........D./.D...C...../...........,.B....B...B/B.B.BBDBDB./...B....B../.........../.........D./D....C...../...........
21,Player.BUFFALO,PieceType.BUFFALO,9,1,9,2,,,,.B....B...B/B.B.BBDBDB./...B....B../.........../.........D./D....C...../...........,.B....B...B/B.B.BBDBD../...B....BB./.........../.........D./D....C...../...........
22,Player.HUNTERS,PieceType.DOG,0,5,0,4,,,,.B....B...B/B.B.BBDBD../...B....BB./.........../.........D./D....C...../...........,.B....B...B/B.B.BBDBD../...B....BB./.........../D........D./.....C...../...........
23,Player.BUFFALO,PieceType.BUFFALO,4,1,4,2,,,,.B....B...B/B.B.BBDBD../...B....BB./.........../D........D./.....C...../...........,.B....B...B/B.B..BDBD../...BB...BB./.........../D........D./.....C...../...........
24,Player.HUNTERS,PieceType.DOG,0,4,3,1,,,,.B....B...B/B.B..BDBD../...BB...BB./.........../D........D./.....C...../...........,.B....B...B/B.BD.BDBD../...BB...BB./.........../.........D./.....C...../...........
25,Player.BUFFALO,PieceType.BUFFALO,4,2,4,3,,,,.B....B...B/B.BD.BDBD../...BB...BB./.........../.........D./.....C...../...........,.B....B...B/B.BD.BDBD../...B....BB./....B....../.........D./.....C...../...........
26,Player.HUNTERS,PieceType.DOG,6,1,7,2,,,,.B....B...B/B.BD.BDBD../...B....BB./....B....../.........D./.....C...../...........,.B....B...B/B.BD.B.BD../...B...DBB./....B....../.........D./.....C...../...........
27,Player.BUFFALO,PieceType.BUFFALO,3,2,3,3,,,,.B....B...B/B.BD.B.BD../...B...DBB./....B....../.........D./.....C...../...........,.B....B...B/B.BD.B.BD../.......DBB./...BB....../.........D./.....C...../...........
28,Player.HUNTERS,PieceType.DOG,3,1,2,2,,,,.B....B...B/B.BD.B.BD../.......DBB./...BB....../.........D./.....C...../...........,.B....B...B/B.B..B.BD../..D....DBB./...BB....../.........D./.....C...../...........
29,Player.BUFFALO,PieceType.BUFFALO,4,3,4,4,,,,.B....B...B/B.B..B.BD../..D....DBB./...BB....../.........D./.....C...../...........,.B....B...B/B.B..B.BD../..D....DBB./...B......./....B....D./.....C...../...........
30,Player.HUNTERS,PieceType.DOG,9,4,9,3,,,,.B....B...B/B.B..B.BD../..D....DBB./...B......./....B....D./.....C...../...........,.B....B...B/B.B..B.BD../..D....DBB./...B.....D./....B....../.....C...../...........
31,Player.BUFFALO,PieceType.BUFFALO,0,1,0,2,,,,.B....B...B/B.B..B.BD../..D....DBB./...B.....D./....B....../.....C...../...........,.B....B...B/..B..B.BD../B.D....DBB./...B.....D./....B....../.....C...../...........
32,Player.HUNTERS,PieceType.CHIEF,5,5,6,4,,,,.B....B...B/..B..B.BD../B.D....DBB./...B.....D./....B....../.....C...../...........,.B....B...B/..B..B.BD../B.D....DBB./...B.....D./....B.C..../.........../...........
33,Player.BUFFALO,PieceType.BUFFALO,0,2,0,3,,,,.B....B...B/..B..B.BD../B.D....DBB./...B.....D./....B.C..../.........../...........,.B....B...B/..B..B.BD../..D....DBB./B..B.....D./....B.C..../.........../...........
34,Player.HUNTERS,PieceType.DOG,7,2,5,4,,,,.B....B...B/..B..B.BD../..D....DBB./B..B.....D./....B.C..../.........../...........,.B....B...B/..B..B.BD../..D.....BB./B..B.....D./....BDC..../.........../...........
35,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,.B....B...B/..B..B.BD../..D.....BB./B..B.....D./....BDC..../.........../...........,......B...B/.BB..B.BD../..D.....BB./B..B.....D./....BDC..../.........../...........
36,Player.HUNTERS,PieceType.DOG,2,2,0,4,,,,......B...B/.BB..B.BD../..D.....BB./B..B.....D./....BDC..../.........../...........,......B...B/.BB..B.BD../........BB./B..B.....D./D...BDC..../.........../...........
37,Player.BUFFALO,PieceType.BUFFALO,4,4,4,5,,,,......B...B/.BB..B.BD../........BB./B..B.....D./D...BDC..../.........../...........,......B...B/.BB..B.BD../........BB./B..B.....D./D....DC..../....B....../...........
38,Player.HUNTERS,PieceType.CHIEF,6,4,6,5,,,,......B...B/.BB..B.BD../........BB./B..B.....D./D....DC..../....B....../...........,......B...B/.BB..B.BD../........BB./B..B.....D./D....D...../....B.C..../...........
39,Player.BUFFALO,PieceType.BUFFALO,7,1,7,2,,,,......B...B/.BB..B.BD../........BB./B..B.....D./D....D...../....B.C..../...........,......B...B/.BB..B..D../.......BBB./B..B.....D./D....D...../....B.C..../...........
40,Player.HUNTERS,PieceType.DOG,9,3,7,3,,,,......B...B/.BB..B..D../.......BBB./B..B.....D./D....D...../....B.C..../...........,......B...B/.BB..B..D../.......BBB./B..B...D.../D....D...../....B.C..../...........
41,Player.BUFFALO,PieceType.BUFFALO,5,1,5,2,,,,......B...B/.BB..B..D../.......BBB./B..B...D.../D....D...../....B.C..../...........,......B...B/.BB.....D../.....B.BBB./B..B...D.../D....D...../....B.C..../...........
42,Player.HUNTERS,PieceType.DOG,7,3,9,3,,,,......B...B/.BB.....D../.....B.BBB./B..B...D.../D....D...../....B.C..../...........,......B...B/.BB.....D../.....B.BBB./B..B.....D./D....D...../....B.C..../...........
