move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBBBB.BB/........B../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,7,5,7,3,,,,BBBBBBBB.BB/........B../.........../.........../.........../...DDCDD.../...........,BBBBBBBB.BB/........B../.........../.......D.../.........../...DDCD..../...........
3,Player.BUFFALO,PieceType.BUFFALO,4,0,4,1,,,,BBBBBBBB.BB/........B../.........../.......D.../.........../...DDCD..../...........,BBBB.BBB.BB/....B...B../.........../.......D.../.........../...DDCD..../...........
4,Player.HUNTERS,PieceType.DOG,7,3,6,2,,,,BBBB.BBB.BB/....B...B../.........../.......D.../.........../...DDCD..../...........,BBBB.BBB.BB/....B...B../......D..../.........../.........../...DDCD..../...........
5,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,BBBB.BBB.BB/....B...B../......D..../.........../.........../...DDCD..../...........,BBBB..BB.BB/....BB..B../......D..../.........../.........../...DDCD..../...........
6,Player.HUNTERS,PieceType.DOG,6,2,7,1,,,,BBBB..BB.BB/....BB..B../......D..../.........../.........../...DDCD..../...........,BBBB..BB.BB/....BB.DB../.........../.........../.........../...DDCD..../...........
7,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,BBBB..BB.BB/....BB.DB../.........../.........../.........../...DDCD..../...........,BBBB..BB.BB/....BB.D.../........B../.........../.........../...DDCD..../...........
8,Player.HUNTERS,PieceType.DOG,7,1,4,4,,,,BBBB..BB.BB/....BB.D.../........B../.........../.........../...DDCD..../...........,BBBB..BB.BB/....BB...../........B../.........../....D....../...DDCD..../...........
9,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,BBBB..BB.BB/....BB...../........B../.........../....D....../...DDCD..../...........,BBBB..B..BB/....BB.B.../........B../.........../....D....../...DDCD..../...........
10,Player.HUNTERS,PieceType.DOG,6,5,4,3,,,,BBBB..B..BB/....BB.B.../........B../.........../....D....../...DDCD..../...........,BBBB..B..BB/....BB.B.../........B../....D....../....D....../...DDC...../...........
11,Player.BUFFALO,PieceType.BUFFALO,3,0,3,1,,,,BBBB..B..BB/....BB.B.../........B../....D....../....D....../...DDC...../...........,BBB...B..BB/...BBB.B.../........B../....D....../....D....../...DDC...../...........
12,Player.HUNTERS,PieceType.DOG,4,3,8,3,,,,BBB...B..BB/...BBB.B.../........B../....D....../....D....../...DDC...../...........,BBB...B..BB/...BBB.B.../........B../........D../....D....../...DDC...../...........
13,Player.BUFFALO,PieceType.BUFFALO,3,1,3,2,,,,BBB...B..BB/...BBB.B.../........B../........D../....D....../...DDC...../...........,BBB...B..BB/....BB.B.../...B....B../........D../....D....../...DDC...../...........
14,Player.HUNTERS,PieceType.DOG,8,3,1,3,,,,BBB...B..BB/....BB.B.../...B....B../........D../....D....../...DDC...../...........,BBB...B..BB/....BB.B.../...B....B../.D........./....D....../...DDC...../...........
15,Player.BUFFALO,PieceType.BUFFALO,3,2,3,3,,,,BBB...B..BB/....BB.B.../...B....B../.D........./....D....../...DDC...../...........,BBB...B..BB/....BB.B.../........B../.D.B......./....D....../...DDC...../...........
16,Player.HUNTERS,PieceType.DOG,4,5,2,3,,,,BBB...B..BB/....BB.B.../........B../.D.B......./....D....../...DDC...../...........,BBB...B..BB/....BB.B.../........B../.DDB......./....D....../...D.C...../...........
17,Player.BUFFALO,PieceType.BUFFALO,7,1,7,2,,,,BBB...B..BB/....BB.B.../........B../.DDB......./....D....../...D.C...../...........,BBB...B..BB/....BB...../.......BB../.DDB......./....D....../...D.C...../...........
18,Player.HUNTERS,PieceType.DOG,2,3,3,4,,,,BBB...B..BB/....BB...../.......BB../.DDB......./....D....../...D.C...../...........,BBB...B..BB/....BB...../.......BB../.D.B......./...DD....../...D.C...../...........
19,Player.BUFFALO,PieceType.BUFFALO,7,2,7,3,,,,BBB...B..BB/....BB...../.......BB../.D.B......./...DD....../...D.C...../...........,BBB...B..BB/....BB...../........B../.D.B...B.../...DD....../...D.C...../...........
20,Player.HUNTERS,PieceType.DOG,1,3,2,4,,,,BBB...B..BB/....BB...../........B../.D.B...B.../...DD....../...D.C...../...........,BBB...B..BB/....BB...../........B../...B...B.../..DDD....../...D.C...../...........
21,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,BBB...B..BB/....BB...../........B../...B...B.../..DDD....../...D.C...../...........,BBB...B...B/....BB...B./........B../...B...B.../..DDD....../...D.C...../...........
22,Player.HUNTERS,PieceType.CHIEF,5,5,4,5,,,,BBB...B...B/....BB...B./........B../...B...B.../..DDD....../...D.C...../...........,BBB...B...B/....BB...B./........B../...B...B.../..DDD....../...DC....../...........
23,Player.BUFFALO,PieceType.BUFFALO,8,2,8,3,,,,BBB...B...B/....BB...B./........B../...B...B.../..DDD....../...DC....../...........,BBB...B...B/....BB...B./.........../...B...BB../..DDD....../...DC....../...........
24,Player.HUNTERS,PieceType.DOG,4,4,4,2,,,,BBB...B...B/....BB...B./.........../...B...BB../..DDD....../...DC....../...........,BBB...B...B/....BB...B./....D....../...B...BB../..DD......./...DC....../...........
25,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,BBB...B...B/....BB...B./....D....../...B...BB../..DD......./...DC....../...........,B.B...B...B/.B..BB...B./....D....../...B...BB../..DD......./...DC....../...........
26,Player.HUNTERS,PieceType.DOG,4,2,3,2,,,,B.B...B...B/.B..BB...B./....D....../...B...BB../..DD......./...DC....../...........,B.B...B...B/.B..BB...B./...D......./...B...BB../..DD......./...DC....../...........
27,Player.BUFFALO,PieceType.BUFFALO,4,1,4,2,,,,B.B...B...B/.B..BB...B./...D......./...B...BB../..DD......./...DC....../...........,B.B...B...B/.B...B...B./...DB....../...B...BB../..DD......./...DC....../...........
