move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBBBB.BB/........B../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,4,5,4,1,,,,BBBBBBBB.BB/........B../.........../.........../.........../...DDCDD.../...........,BBBBBBBB.BB/....D...B../.........../.........../.........../...D.CDD.../...........
3,Player.BUFFALO,PieceType.BUFFALO,0,0,0,1,,,,BBBBBBBB.BB/....D...B../.........../.........../.........../...D.CDD.../...........,.BBBBBBB.BB/B...D...B../.........../.........../.........../...D.CDD.../...........
4,Player.HUNTERS,PieceType.CHIEF,5,5,4,4,,,,.BBBBBBB.BB/B...D...B../.........../.........../.........../...D.CDD.../...........,.BBBBBBB.BB/B...D...B../.........../.........../....C....../...D..DD.../...........
5,Player.BUFFALO,PieceType.BUFFALO,10,0,10,1,,,,.BBBBBBB.BB/B...D...B../.........../.........../....C....../...D..DD.../...........,.BBBBBBB.B./B...D...B.B/.........../.........../....C....../...D..DD.../...........
6,Player.HUNTERS,PieceType.DOG,3,5,3,2,,,,.BBBBBBB.B./B...D...B.B/.........../.........../....C....../...D..DD.../...........,.BBBBBBB.B./B...D...B.B/...D......./.........../....C....../......DD.../...........
7,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,.BBBBBBB.B./B...D...B.B/...D......./.........../....C....../......DD.../...........,.BBBBBBB.B./B...D.....B/...D....B../.........../....C....../......DD.../...........
8,Player.HUNTERS,PieceType.DOG,7,5,8,4,,,,.BBBBBBB.B./B...D.....B/...D....B../.........../....C....../......DD.../...........,.BBBBBBB.B./B...D.....B/...D....B../.........../....C...D../......D..../...........
9,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,.BBBBBBB.B./B...D.....B/...D....B../.........../....C...D../......D..../...........,.BBBBBB..B./B...D..B..B/...D....B../.........../....C...D../......D..../...........
10,Player.HUNTERS,PieceType.DOG,6,5,8,3,,,,.BBBBBB..B./B...D..B..B/...D....B../.........../....C...D../......D..../...........,.BBBBBB..B./B...D..B..B/...D....B../........D../....C...D../.........../...........
11,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,.BBBBBB..B./B...D..B..B/...D....B../........D../....C...D../.........../...........,.BBBBBB..../B...D..B.BB/...D....B../........D../....C...D../.........../...........
12,Player.HUNTERS,PieceType.DOG,8,4,10,4,,,,.BBBBBB..../B...D..B.BB/...D....B../........D../....C...D../.........../...........,.BBBBBB..../B...D..B.BB/...D....B../........D../....C.....D/.........../...........
13,Player.BUFFALO,PieceType.BUFFALO,6,0,6,1,,,,.BBBBBB..../B...D..B.BB/...D....B../........D../....C.....D/.........../...........,.BBBBB...../B...D.BB.BB/...D....B../........D../....C.....D/.........../...........
14,Player.HUNTERS,PieceType.DOG,3,2,5,2,,,,.BBBBB...../B...D.BB.BB/...D....B../........D../....C.....D/.........../...........,.BBBBB...../B...D.BB.BB/.....D..B../........D../....C.....D/.........../...........
