move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,3,0,3,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBB.BBBBBBB/...B......./.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,6,5,9,2,,,,BBB.BBBBBBB/...B......./.........../.........../.........../...DDCDD.../...........,BBB.BBBBBBB/...B......./.........D./.........../.........../...DDC.D.../...........
3,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,BBB.BBBBBBB/...B......./.........D./.........../.........../...DDC.D.../...........,B.B.BBBBBBB/.B.B......./.........D./.........../.........../...DDC.D.../...........
4,Player.HUNTERS,PieceType.DOG,4,5,6,3,,,,B.B.BBBBBBB/.B.B......./.........D./.........../.........../...DDC.D.../...........,B.B.BBBBBBB/.B.B......./.........D./......D..../.........../...D.C.D.../...........
5,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,B.B.BBBBBBB/.B.B......./.........D./......D..../.........../...D.C.D.../...........,B.B.BBBBB.B/.B.B.....B./.........D./......D..../.........../...D.C.D.../...........
6,Player.HUNTERS,PieceType.DOG,3,5,2,5,,,,B.B.BBBBB.B/.B.B.....B./.........D./......D..../.........../...D.C.D.../...........,B.B.BBBBB.B/.B.B.....B./.........D./......D..../.........../..D..C.D.../...........
7,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,B.B.BBBBB.B/.B.B.....B./.........D./......D..../.........../..D..C.D.../...........,B...BBBBB.B/.BBB.....B./.........D./......D..../.........../..D..C.D.../...........
8,Player.HUNTERS,PieceType.DOG,6,3,8,1,,,,B...BBBBB.B/.BBB.....B./.........D./......D..../.........../..D..C.D.../...........,B...BBBBB.B/.BBB....DB./.........D./.........../.........../..D..C.D.../...........
9,Player.BUFFALO,PieceType.BUFFALO,4,0,4,1,,,,B...BBBBB.B/.BBB....DB./.........D./.........../.........../..D..C.D.../...........,B....BBBB.B/.BBBB...DB./.........D./.........../.........../..D..C.D.../...........
10,Player.HUNTERS,PieceType.DOG,9,2,10,1,,,,B....BBBB.B/.BBBB...DB./.........D./.........../.........../..D..C.D.../...........,B....BBBB.B/.BBBB...DBD/.........../.........../.........../..D..C.D.../...........
11,Player.BUFFALO,PieceType.BUFFALO,4,1,4,2,,,,B....BBBB.B/.BBBB...DBD/.........../.........../.........../..D..C.D.../...........,B....BBBB.B/.BBB....DBD/....B....../.........../.........../..D..C.D.../...........
12,Player.HUNTERS,PieceType.DOG,8,1,5,4,,,,B....BBBB.B/.BBB....DBD/....B....../.........../.........../..D..C.D.../...........,B....BBBB.B/.BBB.....BD/....B....../.........../.....D...../..D..C.D.../...........
13,Player.BUFFALO,PieceType.BUFFALO,9,1,9,2,,,,B....BBBB.B/.BBB.....BD/....B....../.........../.....D...../..D..C.D.../...........,B....BBBB.B/.BBB......D/....B....B./.........../.....D...../..D..C.D.../...........
14,Player.HUNTERS,PieceType.DOG,10,1,5,1,,,,B....BBBB.B/.BBB......D/....B....B./.........../.....D...../..D..C.D.../...........,B....BBBB.B/.BBB.D...../....B....B./.........../.....D...../..D..C.D.../...........
15,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,B....BBBB.B/.BBB.D...../....B....B./.........../.....D...../..D..C.D.../...........,B....BBB..B/.BBB.D..B../....B....B./.........../.....D...../..D..C.D.../...........
16,Player.HUNTERS,PieceType.DOG,5,4,7,4,,,,B....BBB..B/.BBB.D..B../....B....B./.........../.....D...../..D..C.D.../...........,B....BBB..B/.BBB.D..B../....B....B./.........../.......D.../..D..C.D.../...........
17,Player.BUFFALO,PieceType.BUFFALO,10,0,10,1,,,,B....BBB..B/.BBB.D..B../....B....B./.........../.......D.../..D..C.D.../...........,B....BBB.../.BBB.D..B.B/....B....B./.........../.......D.../..D..C.D.../...........
18,Player.HUNTERS,PieceType.DOG,7,4,5,4,,,,B....BBB.../.BBB.D..B.B/....B....B./.........../.......D.../..D..C.D.../...........,B....BBB.../.BBB.D..B.B/....B....B./.........../.....D...../..D..C.D.../...........
19,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,B....BBB.../.BBB.D..B.B/....B....B./.........../.....D...../..D..C.D.../...........,B....BBB.../.BBB.D....B/....B...BB./.........../.....D...../..D..C.D.../...........
20,Player.HUNTERS,PieceType.DOG,2,5,4,3,,,,B....BBB.../.BBB.D....B/....B...BB./.........../.....D...../..D..C.D.../...........,B....BBB.../.BBB.D....B/....B...BB./....D....../.....D...../.....C.D.../...........
21,Player.BUFFALO,PieceType.BUFFALO,2,1,2,2,,,,B....BBB.../.BBB.D....B/....B...BB./....D....../.....D...../.....C.D.../...........,B....BBB.../.B.B.D....B/..B.B...BB./....D....../.....D...../.....C.D.../...........
22,Player.HUNTERS,PieceType.DOG,5,1,7,3,,,,B....BBB.../.B.B.D....B/..B.B...BB./....D....../.....D...../.....C.D.../...........,B....BBB.../.B.B......B/..B.B...BB./....D..D.../.....D...../.....C.D.../...........
23,Player.BUFFALO,PieceType.BUFFALO,10,1,10,2,,,,B....BBB.../.B.B......B/..B.B...BB./....D..D.../.....D...../.....C.D.../...........,B....BBB.../.B.B......./..B.B...BBB/....D..D.../.....D...../.....C.D.../...........
24,Player.HUNTERS,PieceType.DOG,5,4,4,5,,,,B....BBB.../.B.B......./..B.B...BBB/....D..D.../.....D...../.....C.D.../...........,B....BBB.../.B.B......./..B.B...BBB/....D..D.../.........../....DC.D.../...........
25,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,B....BBB.../.B.B......./..B.B...BBB/....D..D.../.........../....DC.D.../...........,B.....BB.../.B.B.B...../..B.B...BBB/....D..D.../.........../....DC.D.../...........
26,Player.HUNTERS,PieceType.DOG,4,5,5,4,,,,B.....BB.../.B.B.B...../..B.B...BBB/....D..D.../.........../....DC.D.../...........,B.....BB.../.B.B.B...../..B.B...BBB/....D..D.../.....D...../.....C.D.../...........
27,Player.BUFFALO,PieceType.BUFFALO,3,1,3,2,,,,B.....BB.../.B.B.B...../..B.B...BBB/....D..D.../.....D...../.....C.D.../...........,B.....BB.../.B...B...../..BBB...BBB/....D..D.../.....D...../.....C.D.../...........
28,Player.HUNTERS,PieceType.DOG,5,4,0,4,,,,B.....BB.../.B...B...../..BBB...BBB/....D..D.../.....D...../.....C.D.../...........,B.....BB.../.B...B...../..BBB...BBB/....D..D.../D........../.....C.D.../...........
29,Player.BUFFALO,PieceType.BUFFALO,8,2,8,3,,,,B.....BB.../.B...B...../..BBB...BBB/....D..D.../D........../.....C.D.../...........,B.....BB.../.B...B...../..BBB....BB/....D..DB../D........../.....C.D.../...........
30,Player.HUNTERS,PieceType.DOG,0,4,0,1,,,,B.....BB.../.B...B...../..BBB....BB/....D..DB../D........../.....C.D.../...........,B.....BB.../DB...B...../..BBB....BB/....D..DB../.........../.....C.D.../...........
31,Player.BUFFALO,PieceType.BUFFALO,9,2,9,3,,,,B.....BB.../DB...B...../..BBB....BB/....D..DB../.........../.....C.D.../...........,B.....BB.../DB...B...../..BBB.....B/....D..DBB./.........../.....C.D.../...........
32,Player.HUNTERS,PieceType.DOG,7,5,8,5,,,,B.....BB.../DB...B...../..BBB.....B/....D..DBB./.........../.....C.D.../...........,B.....BB.../DB...B...../..BBB.....B/....D..DBB./.........../.....C..D../...........
33,Player.BUFFALO,PieceType.BUFFALO,1,1,1,2,,,,B.....BB.../DB...B...../..BBB.....B/....D..DBB./.........../.....C..D../...........,B.....BB.../D....B...../.BBBB.....B/....D..DBB./.........../.....C..D../...........
34,Player.HUNTERS,PieceType.DOG,4,3,6,3,,,,B.....BB.../D....B...../.BBBB.....B/....D..DBB./.........../.....C..D../...........,B.....BB.../D....B...../.BBBB.....B/......DDBB./.........../.....C..D../...........
35,Player.BUFFALO,PieceType.BUFFALO,6,0,6,1,,,,B.....BB.../D....B...../.BBBB.....B/......DDBB./.........../.....C..D../...........,B......B.../D....BB..../.BBBB.....B/......DDBB./.........../.....C..D../...........
36,Player.HUNTERS,PieceType.DOG,0,1,0,3,,,,B......B.../D....BB..../.BBBB.....B/......DDBB./.........../.....C..D../...........,B......B.../.....BB..../.BBBB.....B/D.....DDBB./.........../.....C..D../...........
37,Player.BUFFALO,PieceType.BUFFALO,1,2,1,3,,,,B......B.../.....BB..../.BBBB.....B/D.....DDBB./.........../.....C..D../...........,B......B.../.....BB..../..BBB.....B/DB....DDBB./.........../.....C..D../...........
38,Player.HUNTERS,PieceType.DOG,7,3,7,1,,,,B......B.../.....BB..../..BBB.....B/DB....DDBB./.........../.....C..D../...........,B......B.../.....BBD.../..BBB.....B/DB....D.BB./.........../.....C..D../...........
39,Player.BUFFALO,PieceType.BUFFALO,5,1,5,2,,,,B......B.../.....BBD.../..BBB.....B/DB....D.BB./.........../.....C..D../...........,B......B.../......BD.../..BBBB....B/DB....D.BB./.........../.....C..D../...........
40,Player.HUNTERS,PieceType.DOG,0,3,1,4,,,,B......B.../......BD.../..BBBB....B/DB....D.BB./.........../.....C..D../...........,B......B.../......BD.../..BBBB....B/.B....D.BB./.D........./.....C..D../...........
41,Player.BUFFALO,PieceType.BUFFALO,8,3,8,4,,,,B......B.../......BD.../..BBBB....B/.B....D.BB./.D........./.....C..D../...........,B......B.../......BD.../..BBBB....B/.B....D..B./.D......B../.....C..D../...........
42,Player.HUNTERS,PieceType.DOG,6,3,8,1,,,,B......B.../......BD.../..BBBB....B/.B....D..B./.D......B../.....C..D../...........,B......B.../......BDD../..BBBB....B/.B.......B./.D......B../.....C..D../...........
43,Player.BUFFALO,PieceType.BUFFALO,9,3,9,4,,,,B......B.../......BDD../..BBBB....B/.B.......B./.D......B../.....C..D../...........,B......B.../......BDD../..BBBB....B/.B........./.D......BB./.....C..D../...........
44,Player.HUNTERS,PieceType.DOG,7,1,7,3,,,,B......B.../......BDD../..BBBB....B/.B........./.D......BB./.....C..D../...........,B......B.../......B.D../..BBBB....B/.B.....D.../.D......BB./.....C..D../...........
45,Player.BUFFALO,PieceType.BUFFALO,6,1,6,2,,,,B......B.../......B.D../..BBBB....B/.B.....D.../.D......BB./.....C..D../...........,B......B.../........D../..BBBBB...B/.B.....D.../.D......BB./.....C..D../...........
46,Player.HUNTERS,PieceType.DOG,8,1,8,3,,,,B......B.../........D../..BBBBB...B/.B.....D.../.D......BB./.....C..D../...........,B......B.../.........../..BBBBB...B/.B.....DD../.D......BB./.....C..D../...........
47,Player.BUFFALO,PieceType.BUFFALO,6,2,6,3,,,,B......B.../.........../..BBBBB...B/.B.....DD../.D......BB./.....C..D../...........,B......B.../.........../..BBBB....B/.B....BDD../.D......BB./.....C..D../...........
48,Player.HUNTERS,PieceType.CHIEF,5,5,4,5,,,,B......B.../.........../..BBBB....B/.B....BDD../.D......BB./.....C..D../...........,B......B.../.........../..BBBB....B/.B....BDD../.D......BB./....C...D../...........
49,Player.BUFFALO,PieceType.BUFFALO,6,3,6,4,,,,B......B.../.........../..BBBB....B/.B....BDD../.D......BB./....C...D../...........,B......B.../.........../..BBBB....B/.B.....DD../.D....B.BB./....C...D../...........
50,Player.HUNTERS,PieceType.CHIEF,4,5,5,4,,,,B......B.../.........../..BBBB....B/.B.....DD../.D....B.BB./....C...D../...........,B......B.../.........../..BBBB....B/.B.....DD../.D...CB.BB./........D../...........
51,Player.BUFFALO,PieceType.BUFFALO,0,0,0,1,,,,B......B.../.........../..BBBB....B/.B.....DD../.D...CB.BB./........D../...........,.......B.../B........../..BBBB....B/.B.....DD../.D...CB.BB./........D../...........
52,Player.HUNTERS,PieceType.DOG,8,3,7,4,,,,.......B.../B........../..BBBB....B/.B.....DD../.D...CB.BB./........D../...........,.......B.../B........../..BBBB....B/.B.....D.../.D...CBDBB./........D../...........
53,Player.BUFFALO,PieceType.BUFFALO,6,4,6,5,,,,.......B.../B........../..BBBB....B/.B.....D.../.D...CBDBB./........D../...........,.......B.../B........../..BBBB....B/.B.....D.../.D...C.DBB./......B.D../...........
