move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BB.BBBBBBBB/..B......../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,4,5,4,1,,,,BB.BBBBBBBB/..B......../.........../.........../.........../...DDCDD.../...........,BB.BBBBBBBB/..B.D....../.........../.........../.........../...D.CDD.../...........
3,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,BB.BBBBBBBB/..B.D....../.........../.........../.........../...D.CDD.../...........,BB.BB.BBBBB/..B.DB...../.........../.........../.........../...D.CDD.../...........
4,Player.HUNTERS,PieceType.CHIEF,5,5,5,4,,,,BB.BB.BBBBB/..B.DB...../.........../.........../.........../...D.CDD.../...........,BB.BB.BBBBB/..B.DB...../.........../.........../.....C...../...D..DD.../...........
5,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,BB.BB.BBBBB/..B.DB...../.........../.........../.....C...../...D..DD.../...........,BB.BB.B.BBB/..B.DB.B.../.........../.........../.....C...../...D..DD.../...........
6,Player.HUNTERS,PieceType.DOG,7,5,7,4,,,,BB.BB.B.BBB/..B.DB.B.../.........../.........../.....C...../...D..DD.../...........,BB.BB.B.BBB/..B.DB.B.../.........../.........../.....C.D.../...D..D..../...........
7,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,BB.BB.B.BBB/..B.DB.B.../.........../.........../.....C.D.../...D..D..../...........,BB.BB.B.B.B/..B.DB.B.B./.........../.........../.....C.D.../...D..D..../...........
8,Player.HUNTERS,PieceType.CHIEF,5,4,4,5,,,,BB.BB.B.B.B/..B.DB.B.B./.........../.........../.....C.D.../...D..D..../...........,BB.BB.B.B.B/..B.DB.B.B./.........../.........../.......D.../...DC.D..../...........
9,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,BB.BB.B.B.B/..B.DB.B.B./.........../.........../.......D.../...DC.D..../...........,B..BB.B.B.B/.BB.DB.B.B./.........../.........../.......D.../...DC.D..../...........
10,Player.HUNTERS,PieceType.DOG,7,4,10,1,,,,B..BB.B.B.B/.BB.DB.B.B./.........../.........../.......D.../...DC.D..../...........,B..BB.B.B.B/.BB.DB.B.BD/.........../.........../.........../...DC.D..../...........
