move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,10,0,10,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBBBBBB./..........B/.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,6,5,4,3,,,,BBBBBBBBBB./..........B/.........../.........../.........../...DDCDD.../...........,BBBBBBBBBB./..........B/.........../....D....../.........../...DDC.D.../...........
3,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,BBBBBBBBBB./..........B/.........../....D....../.........../...DDC.D.../...........,BBBBB.BBBB./.....B....B/.........../....D....../.........../...DDC.D.../...........
4,Player.HUNTERS,PieceType.DOG,7,5,7,1,,,,BBBBB.BBBB./.....B....B/.........../....D....../.........../...DDC.D.../...........,BBBBB.BBBB./.....B.D..B/.........../....D....../.........../...DDC...../...........
5,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,BBBBB.BBBB./.....B.D..B/.........../....D....../.........../...DDC...../...........,B.BBB.BBBB./.B...B.D..B/.........../....D....../.........../...DDC...../...........
6,Player.HUNTERS,PieceType.DOG,4,5,7,2,,,,B.BBB.BBBB./.B...B.D..B/.........../....D....../.........../...DDC...../...........,B.BBB.BBBB./.B...B.D..B/.......D.../....D....../.........../...D.C...../...........
7,Player.BUFFALO,PieceType.BUFFALO,10,1,10,2,,,,B.BBB.BBBB./.B...B.D..B/.......D.../....D....../.........../...D.C...../...........,B.BBB.BBBB./.B...B.D.../.......D..B/....D....../.........../...D.C...../...........
8,Player.HUNTERS,PieceType.DOG,3,5,1,5,,,,B.BBB.BBBB./.B...B.D.../.......D..B/....D....../.........../...D.C...../...........,B.BBB.BBBB./.B...B.D.../.......D..B/....D....../.........../.D...C...../...........
9,Player.BUFFALO,PieceType.BUFFALO,10,2,10,3,,,,B.BBB.BBBB./.B...B.D.../.......D..B/....D....../.........../.D...C...../...........,B.BBB.BBBB./.B...B.D.../.......D.../....D.....B/.........../.D...C...../...........
10,Player.HUNTERS,PieceType.DOG,4,3,7,3,,,,B.BBB.BBBB./.B...B.D.../.......D.../....D.....B/.........../.D...C...../...........,B.BBB.BBBB./.B...B.D.../.......D.../.......D..B/.........../.D...C...../...........
11,Player.BUFFALO,PieceType.BUFFALO,10,3,10,4,,,,B.BBB.BBBB./.B...B.D.../.......D.../.......D..B/.........../.D...C...../...........,B.BBB.BBBB./.B...B.D.../.......D.../.......D.../..........B/.D...C...../...........
12,Player.HUNTERS,PieceType.DOG,1,5,2,5,,,,B.BBB.BBBB./.B...B.D.../.......D.../.......D.../..........B/.D...C...../...........,B.BBB.BBBB./.B...B.D.../.......D.../.......D.../..........B/..D..C...../...........
