move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,6,0,6,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBB.BBBB/......B..../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,7,5,6,4,,,,BBBBBB.BBBB/......B..../.........../.........../.........../...DDCDD.../...........,BBBBBB.BBBB/......B..../.........../.........../......D..../...DDCD..../...........
3,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,BBBBBB.BBBB/......B..../.........../.........../......D..../...DDCD..../...........,BBBBBB.BB.B/......B..B./.........../.........../......D..../...DDCD..../...........
4,Player.HUNTERS,PieceType.DOG,3,5,3,3,,,,BBBBBB.BB.B/......B..B./.........../.........../......D..../...DDCD..../...........,BBBBBB.BB.B/......B..B./.........../...D......./......D..../....DCD..../...........
5,Player.BUFFALO,PieceType.BUFFALO,0,0,0,1,,,,BBBBBB.BB.B/......B..B./.........../...D......./......D..../....DCD..../...........,.BBBBB.BB.B/B.....B..B./.........../...D......./......D..../....DCD..../...........
6,Player.HUNTERS,PieceType.DOG,4,5,5,4,,,,.BBBBB.BB.B/B.....B..B./.........../...D......./......D..../....DCD..../...........,.BBBBB.BB.B/B.....B..B./.........../...D......./.....DD..../.....CD..../...........
7,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,.BBBBB.BB.B/B.....B..B./.........../...D......./.....DD..../.....CD..../...........,.BBBBB..B.B/B.....BB.B./.........../...D......./.....DD..../.....CD..../...........
8,Player.HUNTERS,PieceType.DOG,5,4,4,3,,,,.BBBBB..B.B/B.....BB.B./.........../...D......./.....DD..../.....CD..../...........,.BBBBB..B.B/B.....BB.B./.........../...DD....../......D..../.....CD..../...........
9,Player.BUFFALO,PieceType.BUFFALO,4,0,4,1,,,,.BBBBB..B.B/B.....BB.B./.........../...DD....../......D..../.....CD..../...........,.BBB.B..B.B/B...B.BB.B./.........../...DD....../......D..../.....CD..../...........
10,Player.HUNTERS,PieceType.DOG,4,3,7,3,,,,.BBB.B..B.B/B...B.BB.B./.........../...DD....../......D..../.....CD..../...........,.BBB.B..B.B/B...B.BB.B./.........../...D...D.../......D..../.....CD..../...........
11,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,.BBB.B..B.B/B...B.BB.B./.........../...D...D.../......D..../.....CD..../...........,..BB.B..B.B/BB..B.BB.B./.........../...D...D.../......D..../.....CD..../...........
12,Player.HUNTERS,PieceType.CHIEF,5,5,4,5,,,,..BB.B..B.B/BB..B.BB.B./.........../...D...D.../......D..../.....CD..../...........,..BB.B..B.B/BB..B.BB.B./.........../...D...D.../......D..../....C.D..../...........
13,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,..BB.B..B.B/BB..B.BB.B./.........../...D...D.../......D..../....C.D..../...........,..BB.B....B/BB..B.BBBB./.........../...D...D.../......D..../....C.D..../...........
14,Player.HUNTERS,PieceType.DOG,6,5,5,5,,,,..BB.B....B/BB..B.BBBB./.........../...D...D.../......D..../....C.D..../...........,..BB.B....B/BB..B.BBBB./.........../...D...D.../......D..../....CD...../...........
15,Player.BUFFALO,PieceType.BUFFALO,9,1,9,2,,,,..BB.B....B/BB..B.BBBB./.........../...D...D.../......D..../....CD...../...........,..BB.B....B/BB..B.BBB../.........B./...D...D.../......D..../....CD...../...........
16,Player.HUNTERS,PieceType.DOG,3,3,5,3,,,,..BB.B....B/BB..B.BBB../.........B./...D...D.../......D..../....CD...../...........,..BB.B....B/BB..B.BBB../.........B./.....D.D.../......D..../....CD...../...........
17,Player.BUFFALO,PieceType.BUFFALO,1,1,1,2,,,,..BB.B....B/BB..B.BBB../.........B./.....D.D.../......D..../....CD...../...........,..BB.B....B/B...B.BBB../.B.......B./.....D.D.../......D..../....CD...../...........
18,Player.HUNTERS,PieceType.DOG,5,3,1,3,,,,..BB.B....B/B...B.BBB../.B.......B./.....D.D.../......D..../....CD...../...........,..BB.B....B/B...B.BBB../.B.......B./.D.....D.../......D..../....CD...../...........
19,Player.BUFFALO,PieceType.BUFFALO,3,0,3,1,,,,..BB.B....B/B...B.BBB../.B.......B./.D.....D.../......D..../....CD...../...........,..B..B....B/B..BB.BBB../.B.......B./.D.....D.../......D..../....CD...../...........
20,Player.HUNTERS,PieceType.DOG,7,3,7,5,,,,..B..B....B/B..BB.BBB../.B.......B./.D.....D.../......D..../....CD...../...........,..B..B....B/B..BB.BBB../.B.......B./.D........./......D..../....CD.D.../...........
21,Player.BUFFALO,PieceType.BUFFALO,7,1,7,2,,,,..B..B....B/B..BB.BBB../.B.......B./.D........./......D..../....CD.D.../...........,..B..B....B/B..BB.B.B../.B.....B.B./.D........./......D..../....CD.D.../...........
22,Player.HUNTERS,PieceType.DOG,5,5,5,3,,,,..B..B....B/B..BB.B.B../.B.....B.B./.D........./......D..../....CD.D.../...........,..B..B....B/B..BB.B.B../.B.....B.B./.D...D...../......D..../....C..D.../...........
23,Player.BUFFALO,PieceType.BUFFALO,3,1,3,2,,,,..B..B....B/B..BB.B.B../.B.....B.B./.D...D...../......D..../....C..D.../...........,..B..B....B/B...B.B.B../.B.B...B.B./.D...D...../......D..../....C..D.../...........
24,Player.HUNTERS,PieceType.DOG,5,3,5,1,,,,..B..B....B/B...B.B.B../.B.B...B.B./.D...D...../......D..../....C..D.../...........,..B..B....B/B...BDB.B../.B.B...B.B./.D........./......D..../....C..D.../...........
25,Player.BUFFALO,PieceType.BUFFALO,4,1,4,2,,,,..B..B....B/B...BDB.B../.B.B...B.B./.D........./......D..../....C..D.../...........,..B..B....B/B....DB.B../.B.BB..B.B./.D........./......D..../....C..D.../...........
26,Player.HUNTERS,PieceType.DOG,7,5,8,4,,,,..B..B....B/B....DB.B../.B.BB..B.B./.D........./......D..../....C..D.../...........,..B..B....B/B....DB.B../.B.BB..B.B./.D........./......D.D../....C....../...........
27,Player.BUFFALO,PieceType.BUFFALO,9,2,9,3,,,,..B..B....B/B....DB.B../.B.BB..B.B./.D........./......D.D../....C....../...........,..B..B....B/B....DB.B../.B.BB..B.../.D.......B./......D.D../....C....../...........
28,Player.HUNTERS,PieceType.DOG,6,4,1,4,,,,..B..B....B/B....DB.B../.B.BB..B.../.D.......B./......D.D../....C....../...........,..B..B....B/B....DB.B../.B.BB..B.../.D.......B./.D......D../....C....../...........
29,Player.BUFFALO,PieceType.BUFFALO,3,2,3,3,,,,..B..B....B/B....DB.B../.B.BB..B.../.D.......B./.D......D../....C....../...........,..B..B....B/B....DB.B../.B..B..B.../.D.B.....B./.D......D../....C....../...........
30,Player.HUNTERS,PieceType.DOG,1,4,0,3,,,,..B..B....B/B....DB.B../.B..B..B.../.D.B.....B./.D......D../....C....../...........,..B..B....B/B....DB.B../.B..B..B.../DD.B.....B./........D../....C....../...........
31,Player.BUFFALO,PieceType.BUFFALO,4,2,4,3,,,,..B..B....B/B....DB.B../.B..B..B.../DD.B.....B./........D../....C....../...........,..B..B....B/B....DB.B../.B.....B.../DD.BB....B./........D../....C....../...........
32,Player.HUNTERS,PieceType.DOG,5,1,2,1,,,,..B..B....B/B....DB.B../.B.....B.../DD.BB....B./........D../....C....../...........,..B..B....B/B.D...B.B../.B.....B.../DD.BB....B./........D../....C....../...........
33,Player.BUFFALO,PieceType.BUFFALO,0,1,0,2,,,,..B..B....B/B.D...B.B../.B.....B.../DD.BB....B./........D../....C....../...........,..B..B....B/..D...B.B../BB.....B.../DD.BB....B./........D../....C....../...........
34,Player.HUNTERS,PieceType.DOG,8,4,4,4,,,,..B..B....B/..D...B.B../BB.....B.../DD.BB....B./........D../....C....../...........,..B..B....B/..D...B.B../BB.....B.../DD.BB....B./....D....../....C....../...........
35,Player.BUFFALO,PieceType.BUFFALO,3,3,3,4,,,,..B..B....B/..D...B.B../BB.....B.../DD.BB....B./....D....../....C....../...........,..B..B....B/..D...B.B../BB.....B.../DD..B....B./...BD....../....C....../...........
36,Player.HUNTERS,PieceType.DOG,4,4,3,3,,,,..B..B....B/..D...B.B../BB.....B.../DD..B....B./...BD....../....C....../...........,..B..B....B/..D...B.B../BB.....B.../DD.DB....B./...B......./....C....../...........
37,Player.BUFFALO,PieceType.BUFFALO,10,0,10,1,,,,..B..B....B/..D...B.B../BB.....B.../DD.DB....B./...B......./....C....../...........,..B..B...../..D...B.B.B/BB.....B.../DD.DB....B./...B......./....C....../...........
38,Player.HUNTERS,PieceType.DOG,1,3,3,1,,,,..B..B...../..D...B.B.B/BB.....B.../DD.DB....B./...B......./....C....../...........,..B..B...../..DD..B.B.B/BB.....B.../D..DB....B./...B......./....C....../...........
39,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,..B..B...../..DD..B.B.B/BB.....B.../D..DB....B./...B......./....C....../...........,..B......../..DD.BB.B.B/BB.....B.../D..DB....B./...B......./....C....../...........
40,Player.HUNTERS,PieceType.DOG,0,3,1,4,,,,..B......../..DD.BB.B.B/BB.....B.../D..DB....B./...B......./....C....../...........,..B......../..DD.BB.B.B/BB.....B.../...DB....B./.D.B......./....C....../...........
41,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,..B......../..DD.BB.B.B/BB.....B.../...DB....B./.D.B......./....C....../...........,..B......../..DD.BB...B/BB.....BB../...DB....B./.D.B......./....C....../...........
42,Player.HUNTERS,PieceType.DOG,3,3,0,3,,,,..B......../..DD.BB...B/BB.....BB../...DB....B./.D.B......./....C....../...........,..B......../..DD.BB...B/BB.....BB../D...B....B./.D.B......./....C....../...........
43,Player.BUFFALO,PieceType.BUFFALO,6,1,6,2,,,,..B......../..DD.BB...B/BB.....BB../D...B....B./.D.B......./....C....../...........,..B......../..DD.B....B/BB....BBB../D...B....B./.D.B......./....C....../...........
44,Player.HUNTERS,PieceType.DOG,2,1,3,2,,,,..B......../..DD.B....B/BB....BBB../D...B....B./.D.B......./....C....../...........,..B......../...D.B....B/BB.D..BBB../D...B....B./.D.B......./....C....../...........
45,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,..B......../...D.B....B/BB.D..BBB../D...B....B./.D.B......./....C....../...........,.........../..BD.B....B/BB.D..BBB../D...B....B./.D.B......./....C....../...........
46,Player.HUNTERS,PieceType.DOG,0,3,0,5,,,,.........../..BD.B....B/BB.D..BBB../D...B....B./.D.B......./....C....../...........,.........../..BD.B....B/BB.D..BBB../....B....B./.D.B......./D...C....../...........
47,Player.BUFFALO,PieceType.BUFFALO,7,2,7,3,,,,.........../..BD.B....B/BB.D..BBB../....B....B./.D.B......./D...C....../...........,.........../..BD.B....B/BB.D..B.B../....B..B.B./.D.B......./D...C....../...........
