move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,9,0,9,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBBBBB.B/.........B./.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,7,5,9,5,,,,BBBBBBBBB.B/.........B./.........../.........../.........../...DDCDD.../...........,BBBBBBBBB.B/.........B./.........../.........../.........../...DDCD..D./...........
3,Player.BUFFALO,PieceType.BUFFALO,3,0,3,1,,,,BBBBBBBBB.B/.........B./.........../.........../.........../...DDCD..D./...........,BBB.BBBBB.B/...B.....B./.........../.........../.........../...DDCD..D./...........
4,Player.HUNTERS,PieceType.CHIEF,5,5,5,4,,,,BBB.BBBBB.B/...B.....B./.........../.........../.........../...DDCD..D./...........,BBB.BBBBB.B/...B.....B./.........../.........../.....C...../...DD.D..D./...........
5,Player.BUFFALO,PieceType.BUFFALO,7,0,7,1,,,,BBB.BBBBB.B/...B.....B./.........../.........../.....C...../...DD.D..D./...........,BBB.BBB.B.B/...B...B.B./.........../.........../.....C...../...DD.D..D./...........
6,Player.HUNTERS,PieceType.DOG,9,5,10,4,,,,BBB.BBB.B.B/...B...B.B./.........../.........../.....C...../...DD.D..D./...........,BBB.BBB.B.B/...B...B.B./.........../.........../.....C....D/...DD.D..../...........
7,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,BBB.BBB.B.B/...B...B.B./.........../.........../.....C....D/...DD.D..../...........,BB..BBB.B.B/..BB...B.B./.........../.........../.....C....D/...DD.D..../...........
8,Player.HUNTERS,PieceType.DOG,3,5,0,2,,,,BB..BBB.B.B/..BB...B.B./.........../.........../.....C....D/...DD.D..../...........,BB..BBB.B.B/..BB...B.B./D........../.........../.....C....D/....D.D..../...........
9,Player.BUFFALO,PieceType.BUFFALO,2,1,2,2,,,,BB..BBB.B.B/..BB...B.B./D........../.........../.....C....D/....D.D..../...........,BB..BBB.B.B/...B...B.B./D.B......../.........../.....C....D/....D.D..../...........
10,Player.HUNTERS,PieceType.DOG,4,5,4,4,,,,BB..BBB.B.B/...B...B.B./D.B......../.........../.....C....D/....D.D..../...........,BB..BBB.B.B/...B...B.B./D.B......../.........../....DC....D/......D..../...........
11,Player.BUFFALO,PieceType.BUFFALO,0,0,0,1,,,,BB..BBB.B.B/...B...B.B./D.B......../.........../....DC....D/......D..../...........,.B..BBB.B.B/B..B...B.B./D.B......../.........../....DC....D/......D..../...........
12,Player.HUNTERS,PieceType.DOG,4,4,1,4,,,,.B..BBB.B.B/B..B...B.B./D.B......../.........../....DC....D/......D..../...........,.B..BBB.B.B/B..B...B.B./D.B......../.........../.D...C....D/......D..../...........
13,Player.BUFFALO,PieceType.BUFFALO,10,0,10,1,,,,.B..BBB.B.B/B..B...B.B./D.B......../.........../.D...C....D/......D..../...........,.B..BBB.B../B..B...B.BB/D.B......../.........../.D...C....D/......D..../...........
14,Player.HUNTERS,PieceType.DOG,6,5,8,5,,,,.B..BBB.B../B..B...B.BB/D.B......../.........../.D...C....D/......D..../...........,.B..BBB.B../B..B...B.BB/D.B......../.........../.D...C....D/........D../...........
15,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,.B..BBB.B../B..B...B.BB/D.B......../.........../.D...C....D/........D../...........,....BBB.B../BB.B...B.BB/D.B......../.........../.D...C....D/........D../...........
16,Player.HUNTERS,PieceType.DOG,1,4,3,2,,,,....BBB.B../BB.B...B.BB/D.B......../.........../.D...C....D/........D../...........,....BBB.B../BB.B...B.BB/D.BD......./.........../.....C....D/........D../...........
17,Player.BUFFALO,PieceType.BUFFALO,1,1,1,2,,,,....BBB.B../BB.B...B.BB/D.BD......./.........../.....C....D/........D../...........,....BBB.B../B..B...B.BB/DBBD......./.........../.....C....D/........D../...........
18,Player.HUNTERS,PieceType.DOG,8,5,8,3,,,,....BBB.B../B..B...B.BB/DBBD......./.........../.....C....D/........D../...........,....BBB.B../B..B...B.BB/DBBD......./........D../.....C....D/.........../...........
19,Player.BUFFALO,PieceType.BUFFALO,9,1,9,2,,,,....BBB.B../B..B...B.BB/DBBD......./........D../.....C....D/.........../...........,....BBB.B../B..B...B..B/DBBD.....B./........D../.....C....D/.........../...........
20,Player.HUNTERS,PieceType.DOG,0,2,0,4,,,,....BBB.B../B..B...B..B/DBBD.....B./........D../.....C....D/.........../...........,....BBB.B../B..B...B..B/.BBD.....B./........D../D....C....D/.........../...........
21,Player.BUFFALO,PieceType.BUFFALO,10,1,10,2,,,,....BBB.B../B..B...B..B/.BBD.....B./........D../D....C....D/.........../...........,....BBB.B../B..B...B.../.BBD.....BB/........D../D....C....D/.........../...........
22,Player.HUNTERS,PieceType.DOG,8,3,1,3,,,,....BBB.B../B..B...B.../.BBD.....BB/........D../D....C....D/.........../...........,....BBB.B../B..B...B.../.BBD.....BB/.D........./D....C....D/.........../...........
23,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,....BBB.B../B..B...B.../.BBD.....BB/.D........./D....C....D/.........../...........,....BBB..../B..B...BB../.BBD.....BB/.D........./D....C....D/.........../...........
24,Player.HUNTERS,PieceType.DOG,0,4,4,4,,,,....BBB..../B..B...BB../.BBD.....BB/.D........./D....C....D/.........../...........,....BBB..../B..B...BB../.BBD.....BB/.D........./....DC....D/.........../...........
25,Player.BUFFALO,PieceType.BUFFALO,10,2,10,3,,,,....BBB..../B..B...BB../.BBD.....BB/.D........./....DC....D/.........../...........,....BBB..../B..B...BB../.BBD.....B./.D........B/....DC....D/.........../...........
26,Player.HUNTERS,PieceType.DOG,3,2,7,2,,,,....BBB..../B..B...BB../.BBD.....B./.D........B/....DC....D/.........../...........,....BBB..../B..B...BB../.BB....D.B./.D........B/....DC....D/.........../...........
27,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,....BBB..../B..B...BB../.BB....D.B./.D........B/....DC....D/.........../...........,....B.B..../B..B.B.BB../.BB....D.B./.D........B/....DC....D/.........../...........
28,Player.HUNTERS,PieceType.DOG,4,4,5,5,,,,....B.B..../B..B.B.BB../.BB....D.B./.D........B/....DC....D/.........../...........,....B.B..../B..B.B.BB../.BB....D.B./.D........B/.....C....D/.....D...../...........
29,Player.BUFFALO,PieceType.BUFFALO,9,2,9,3,,,,....B.B..../B..B.B.BB../.BB....D.B./.D........B/.....C....D/.....D...../...........,....B.B..../B..B.B.BB../.BB....D.../.D.......BB/.....C....D/.....D...../...........
30,Player.HUNTERS,PieceType.CHIEF,5,4,6,3,,,,....B.B..../B..B.B.BB../.BB....D.../.D.......BB/.....C....D/.....D...../...........,....B.B..../B..B.B.BB../.BB....D.../.D....C..BB/..........D/.....D...../...........
31,Player.BUFFALO,PieceType.BUFFALO,4,0,4,1,,,,....B.B..../B..B.B.BB../.BB....D.../.D....C..BB/..........D/.....D...../...........,......B..../B..BBB.BB../.BB....D.../.D....C..BB/..........D/.....D...../...........
32,Player.HUNTERS,PieceType.DOG,1,3,3,5,,,,......B..../B..BBB.BB../.BB....D.../.D....C..BB/..........D/.....D...../...........,......B..../B..BBB.BB../.BB....D.../......C..BB/..........D/...D.D...../...........
33,Player.BUFFALO,PieceType.BUFFALO,4,1,4,2,,,,......B..../B..BBB.BB../.BB....D.../......C..BB/..........D/...D.D...../...........,......B..../B..B.B.BB../.BB.B..D.../......C..BB/..........D/...D.D...../...........
34,Player.HUNTERS,PieceType.DOG,7,2,10,2,,,,......B..../B..B.B.BB../.BB.B..D.../......C..BB/..........D/...D.D...../...........,......B..../B..B.B.BB../.BB.B.....D/......C..BB/..........D/...D.D...../...........
35,Player.BUFFALO,PieceType.BUFFALO,8,1,8,2,,,,......B..../B..B.B.BB../.BB.B.....D/......C..BB/..........D/...D.D...../...........,......B..../B..B.B.B.../.BB.B...B.D/......C..BB/..........D/...D.D...../...........
